"original_miRNA_id","normalized_miRNA_id","miRNA_type","mature_or_precursor","arm","mapping_status","legacy_name_status","feature_family","primary_logFC","direction_retention_fraction","loo_min_logFC","loo_max_logFC","loo_max_absolute_change","loo_median_absolute_change","loo_FDR_lt_0_05_fraction"
"hsa-miR-212-5p:hsa-mir-212","hsa-miR-212-5p","mature_miRNA","mature_arm_specific","5p","RECOGNIZED_MIRBASE_22_1_MATURE","CURRENT_MIRBASE_22_1","MATURE",0.059651969990673,0.473684210526316,-0.26172227313308,0.761866818809963,0.70221484881929,0.0563449600743161,0
"hsa-miR-548w:hsa-mir-548w","hsa-miR-548w","mature_miRNA","mature_no_arm_suffix",NA,"RECOGNIZED_MIRBASE_22_1_MATURE","CURRENT_MIRBASE_22_1","MATURE",-0.522715609590207,1,-0.688355016860267,-0.332013658011408,0.190701951578799,0.023400903998307,0
"hsa-miR-556-3p:hsa-mir-556","hsa-miR-556-3p","mature_miRNA","mature_arm_specific","3p","RECOGNIZED_MIRBASE_22_1_MATURE","CURRENT_MIRBASE_22_1","MATURE",-0.0791980424496927,0.657894736842105,-0.312676308074316,0.236064071321497,0.31526211377119,0.0528727387090189,0
"hsa-miR-2355-3p:hsa-mir-2355","hsa-miR-2355-3p","mature_miRNA","mature_arm_specific","3p","RECOGNIZED_MIRBASE_22_1_MATURE","CURRENT_MIRBASE_22_1","MATURE",-0.0239741163647409,0.763157894736842,-0.168718607773409,0.116738659175241,0.144744491408668,0.0192655508778869,0
"hsa-miR-378a-5p:hsa-mir-378a","hsa-miR-378a-5p","mature_miRNA","mature_arm_specific","5p","RECOGNIZED_MIRBASE_22_1_MATURE","CURRENT_MIRBASE_22_1","MATURE",0.508141440694019,1,0.315780792435737,0.649040469668616,0.192360648258282,0.0431460220039022,0
"hsa-miR-487a-5p:hsa-mir-487a","hsa-miR-487a-5p","mature_miRNA","mature_arm_specific","5p","RECOGNIZED_MIRBASE_22_1_MATURE","CURRENT_MIRBASE_22_1","MATURE",0.30711692333201,1,0.14419159271243,0.423401833291649,0.16292533061958,0.022774535213829,0
"hsa-miR-29c-5p:hsa-mir-29c","hsa-miR-29c-5p","mature_miRNA","mature_arm_specific","5p","RECOGNIZED_MIRBASE_22_1_MATURE","CURRENT_MIRBASE_22_1","MATURE",-0.148725109758409,0.921052631578947,-0.327996935698634,0.131002660423699,0.279727770182108,0.0273291758270115,0
"hsa-miR-4443:hsa-mir-4443","hsa-miR-4443","mature_miRNA","mature_no_arm_suffix",NA,"RECOGNIZED_MIRBASE_22_1_MATURE","CURRENT_MIRBASE_22_1","MATURE",0.914708679675269,1,0.234920125640817,1.6908765139097,0.776167834234435,0.0446114363677549,0
"hsa-miR-3679-5p:hsa-mir-3679","hsa-miR-3679-5p","mature_miRNA","mature_arm_specific","5p","RECOGNIZED_MIRBASE_22_1_MATURE","CURRENT_MIRBASE_22_1","MATURE",0.283053743708653,0.973684210526316,-0.0246546262638425,0.527398871792546,0.307708369972496,0.0147007247927364,0
"hsa-miR-3127-5p:hsa-mir-3127","hsa-miR-3127-5p","mature_miRNA","mature_arm_specific","5p","RECOGNIZED_MIRBASE_22_1_MATURE","CURRENT_MIRBASE_22_1","MATURE",1.80113140582857,1,1.30657014063856,2.31629144365305,0.515160037824481,0.0457355181132331,0
"hsa-miR-589-5p:hsa-mir-589","hsa-miR-589-5p","mature_miRNA","mature_arm_specific","5p","RECOGNIZED_MIRBASE_22_1_MATURE","CURRENT_MIRBASE_22_1","MATURE",-0.11505288012621,0.947368421052632,-0.1921319415301,0.0304085543294183,0.145461434455629,0.0160991508267811,0
"hsa-miR-3129-3p:hsa-mir-3129","hsa-miR-3129-3p","mature_miRNA","mature_arm_specific","3p","RECOGNIZED_MIRBASE_22_1_MATURE","CURRENT_MIRBASE_22_1","MATURE",0.235020464004738,0.947368421052632,-0.403061362634445,0.513145234584286,0.638081826639182,0.0595240042527639,0
"hsa-miR-330-5p:hsa-mir-330","hsa-miR-330-5p","mature_miRNA","mature_arm_specific","5p","RECOGNIZED_MIRBASE_22_1_MATURE","CURRENT_MIRBASE_22_1","MATURE",0.039670908926216,0.578947368421053,-0.143952579621301,0.285028341562993,0.245357432636777,0.0263013712535155,0
"hsa-miR-197-5p:hsa-mir-197","hsa-miR-197-5p","mature_miRNA","mature_arm_specific","5p","RECOGNIZED_MIRBASE_22_1_MATURE","CURRENT_MIRBASE_22_1","MATURE",-0.0165731182002951,0.657894736842105,-0.233544403390748,0.462535970029526,0.479109088229822,0.0324973691215717,0
"hsa-miR-769-5p:hsa-mir-769","hsa-miR-769-5p","mature_miRNA","mature_arm_specific","5p","RECOGNIZED_MIRBASE_22_1_MATURE","CURRENT_MIRBASE_22_1","MATURE",0.347844380912763,1,0.15525148919444,0.529730544219135,0.192592891718323,0.0231283991688823,0
"hsa-miR-4709-5p:hsa-mir-4709","hsa-miR-4709-5p","mature_miRNA","mature_arm_specific","5p","RECOGNIZED_MIRBASE_22_1_MATURE","CURRENT_MIRBASE_22_1","MATURE",0.740600772026141,1,0.259465361960103,1.69705460796695,0.95645383594081,0.0885450838388748,0
"hsa-miR-1262:hsa-mir-1262","hsa-miR-1262","mature_miRNA","mature_no_arm_suffix",NA,"RECOGNIZED_MIRBASE_22_1_MATURE","CURRENT_MIRBASE_22_1","MATURE",0.27421348502145,0.973684210526316,-0.0490251437358438,0.422152808003372,0.323238628757293,0.0219174181705717,0
"hsa-miR-6842-3p:hsa-mir-6842","hsa-miR-6842-3p","mature_miRNA","mature_arm_specific","3p","RECOGNIZED_MIRBASE_22_1_MATURE","CURRENT_MIRBASE_22_1","MATURE",-0.148345854574619,0.763157894736842,-0.739162746504314,0.305921674826538,0.590816891929695,0.0683820208227949,0
"hsa-miR-185-3p:hsa-mir-185","hsa-miR-185-3p","mature_miRNA","mature_arm_specific","3p","RECOGNIZED_MIRBASE_22_1_MATURE","CURRENT_MIRBASE_22_1","MATURE",0.552579001605125,0.973684210526316,-0.040960503771064,0.897680002740784,0.593539505376189,0.0466179217651527,0
"hsa-miR-320e:hsa-mir-320e","hsa-miR-320e","mature_miRNA","mature_no_arm_suffix",NA,"RECOGNIZED_MIRBASE_22_1_MATURE","CURRENT_MIRBASE_22_1","MATURE",0.427149070997652,1,0.110043545382003,0.629033229971974,0.317105525615649,0.0347640882389836,0
"hsa-miR-4804-5p:hsa-mir-4804","hsa-miR-4804-5p","mature_miRNA","mature_arm_specific","5p","RECOGNIZED_MIRBASE_22_1_MATURE","CURRENT_MIRBASE_22_1","MATURE",0.0691924625358824,0.578947368421053,-0.173026961323772,0.356135917453753,0.286943454917871,0.0414429959085949,0
"hsa-miR-6731-3p:hsa-mir-6731","hsa-miR-6731-3p","mature_miRNA","mature_arm_specific","3p","RECOGNIZED_MIRBASE_22_1_MATURE","CURRENT_MIRBASE_22_1","MATURE",0.252589190656099,0.947368421052632,-0.266796528274677,0.908434269768894,0.655845079112795,0.0613876761244748,0
"hsa-miR-181b-2-3p:hsa-mir-181b-2","hsa-miR-181b-2-3p","mature_miRNA","mature_arm_specific","3p","RECOGNIZED_MIRBASE_22_1_MATURE","CURRENT_MIRBASE_22_1","MATURE",-0.512582112260249,0.973684210526316,-0.786886837310629,-0.034313218872266,0.478268893387983,0.0603807786873095,0
"hsa-miR-149-3p:hsa-mir-149","hsa-miR-149-3p","mature_miRNA","mature_arm_specific","3p","RECOGNIZED_MIRBASE_22_1_MATURE","CURRENT_MIRBASE_22_1","MATURE",0.583690849420631,1,0.316512149958331,0.812804822625148,0.2671786994623,0.0448760037258981,0
"hsa-miR-4484:hsa-mir-4484","hsa-miR-4484","mature_miRNA","mature_no_arm_suffix",NA,"RECOGNIZED_MIRBASE_22_1_MATURE","CURRENT_MIRBASE_22_1","MATURE",0.995647698083738,1,0.673191332953296,1.26711246087866,0.322456365130442,0.0471554806289554,0
"hsa-miR-214-5p:hsa-mir-214","hsa-miR-214-5p","mature_miRNA","mature_arm_specific","5p","RECOGNIZED_MIRBASE_22_1_MATURE","CURRENT_MIRBASE_22_1","MATURE",-0.129265863176833,0.947368421052632,-0.297983959743265,0.0165594808459933,0.168718096566431,0.0235903608586725,0
