"ensembl_gene_id","primary_log2FC","primary_FDR","EXCLUDE_GSM4676447_log2FC","EXCLUDE_GSM4676447_FDR","EXCLUDE_GSM4676457_log2FC","EXCLUDE_GSM4676457_FDR","EXCLUDE_BOTH_WARNING_FILES_log2FC","EXCLUDE_BOTH_WARNING_FILES_FDR","gene_symbol","gene_biotype","mapping_status"
"ENSG00000198712",0.0829063646112068,0.815212487975163,0.0965391980287229,0.893832939063313,0.0642220853717515,0.866457851441852,0.0896793484736346,0.873354358262166,"MT-CO2","protein_coding","MAPPED_EXACT_VERSION"
"ENSG00000198886",0.0219032260287742,0.954720095414233,0.0193870492311945,0.980194300962965,0.022863032172801,0.951826538696231,0.0417105306916206,0.934617830591836,"MT-ND4","protein_coding","MAPPED_EXACT_VERSION"
"ENSG00000198727",0.0302756459395312,0.942012979670809,0.0799474317209683,0.902947395229997,0.0339491670303285,0.930801874973415,0.0990172516904662,0.846394037753462,"MT-CYB","protein_coding","MAPPED_EXACT_VERSION"
"ENSG00000198888",0.097507936427411,0.763046255920362,0.105708167360004,0.87346808456701,0.0907544776276332,0.791707369131608,0.117454214158933,0.820128085669085,"MT-ND1","protein_coding","MAPPED_EXACT_VERSION"
"ENSG00000210082",0.061906152595008,0.90076296019338,0.159569129836971,0.839013836781877,0.0410203364589479,0.938146135769303,0.14334953545397,0.827448092304396,"MT-RNR2","Mt_rRNA","MAPPED_EXACT_VERSION"
"ENSG00000198938",0.0492025090498806,0.902944028703554,0.103995337582734,0.882785330308926,0.0390080112882764,0.924540981821646,0.114486354769994,0.83331668154059,"MT-CO3","protein_coding","MAPPED_EXACT_VERSION"
"ENSG00000229344",0.129138500860816,0.706993072194722,0.128655621481354,0.854337397209165,0.10546360423613,0.775344898209005,0.112671092125559,0.844288452838057,"MTCO2P12","unprocessed_pseudogene","MAPPED_EXACT_VERSION"
"ENSG00000198763",0.00584734179352345,0.989309382042359,0.0783096493367591,0.921948679844736,0.00360805868178629,0.99501701782911,0.0919230810082875,0.886926082771748,"MT-ND2","protein_coding","MAPPED_EXACT_VERSION"
"ENSG00000198899",-0.0632597725231606,0.833066001653522,-0.0250733083238557,0.974937977846871,-0.0472809032587945,0.886464549724671,0.0194915418311774,0.974304244746431,"MT-ATP6","protein_coding","MAPPED_EXACT_VERSION"
"ENSG00000211592",0.244330817860037,0.862515044384194,0.00851623307422897,0.998252318395966,0.1575748692848,0.918615736858855,-0.0549783038734124,0.984840983408725,"IGKC","IG_C_gene","MAPPED_EXACT_VERSION"
"ENSG00000198840",-0.131283154049384,0.787404745550213,0.00714404116831576,0.994414145410808,-0.0813357196905192,0.881104932787465,0.076992140723709,0.919225867969127,"MT-ND3","protein_coding","MAPPED_EXACT_VERSION"
"ENSG00000247627",0.0142696602520084,0.971153342880923,-0.0410254233904321,0.954743841628421,0.00351671502647644,0.993104588507404,-0.0285259455217967,0.9600003719749,"MTND4P12","processed_pseudogene","MAPPED_EXACT_VERSION"
"ENSG00000162896",1.28750756395281,0.4384815353054,1.58881295520479,0.578219881745874,1.18640567858512,0.505340895463923,1.41856281874829,0.576416059490213,"PIGR","protein_coding","MAPPED_STABLE_ID_VERSION_DIFFERS"
"ENSG00000198804",0.0540776230151028,0.894326661494123,-0.0195953929606084,0.982695425919055,0.080620890497591,0.838231044800941,0.045946915587352,0.942632263213848,"MT-CO1","protein_coding","MAPPED_EXACT_VERSION"
"ENSG00000248527",-0.031486464161596,0.929378172137847,0.000446957141116277,0.999506969405001,-0.0182398057950158,0.960778566151659,0.0416906215389933,0.933475566692433,"MTATP6P1","unprocessed_pseudogene","MAPPED_EXACT_VERSION"
"ENSG00000225630",0.0844323135329663,0.823028251732037,0.155222088975491,0.810116237884191,0.0977299283417278,0.800415958174247,0.185381102922568,0.728520460825968,"MTND2P28","unprocessed_pseudogene","MAPPED_EXACT_VERSION"
"ENSG00000211895",0.686258102573195,0.632051391804983,0.342614010311119,0.913869448721586,0.589036726890015,0.704676401062164,0.275874040854941,0.914125461945518,"IGHA1","IG_C_gene","MAPPED_EXACT_VERSION"
"ENSG00000211459",0.0407735725138326,0.944121017501174,0.127452527945542,0.891754678763902,0.0335384314796939,0.953675666077862,0.13393947776368,0.8536062377159,"MT-RNR1","Mt_rRNA","MAPPED_EXACT_VERSION"
"ENSG00000198786",0.0388117678922776,0.927029166826091,0.0290027959686575,0.976181057128153,0.0379943932637285,0.92945416237882,0.0385409572225794,0.953491179767501,"MT-ND5","protein_coding","MAPPED_EXACT_VERSION"
"ENSG00000198744",-0.0188954665773677,0.970756409619271,-0.00140430774619151,0.999235494974982,-0.0513386042952878,0.908861509050129,-0.0188288359469629,0.983500986956409,"MTCO3P12","unprocessed_pseudogene","MAPPED_EXACT_VERSION"
