"ensembl_gene_id","primary_log2FC","direction_retention_fraction","loo_min_log2FC","loo_max_log2FC","loo_max_absolute_change","loo_median_absolute_change","loo_FDR_lt_0_05_fraction","gene_symbol","gene_biotype","mapping_status"
"ENSG00000145494",0.0404225627596854,0.921052631578947,-0.033333697758735,0.163278303483481,0.122855740723795,0.0125035789886433,0,"NDUFS6","protein_coding","MAPPED_STABLE_ID_VERSION_DIFFERS"
"ENSG00000178464",-0.0895241837552281,1,-0.158625428643995,-0.0665494445296282,0.0691012448887666,0.0101173037316786,0,"RPL10P16","processed_pseudogene","MAPPED_EXACT_VERSION"
"ENSG00000101335",0.708312475944976,1,0.530872751658532,0.880457163699647,0.177439724286444,0.0280482325793162,0,"MYL9","protein_coding","MAPPED_STABLE_ID_VERSION_DIFFERS"
"ENSG00000224041",0.58494855261695,0.973684210526316,0.0379142581091681,1.0147472893078,0.547034294507782,0.0759188744203803,0,"IGKV3D-15","IG_V_gene","MAPPED_EXACT_VERSION"
"ENSG00000158710",0.0145660064731732,0.921052631578947,-0.0593463239334305,0.0511894648102479,0.0739123304066037,0.0110262012957903,0,"TAGLN2","protein_coding","MAPPED_STABLE_ID_VERSION_DIFFERS"
"ENSG00000284803",-0.120895067427737,1,-0.207272596510463,-0.0843092702367124,0.0863775290827261,0.0182284164453524,0,"AC245033.4","lncRNA","MAPPED_STABLE_ID_VERSION_DIFFERS"
"ENSG00000130770",0.1266484456662,1,0.0793914527409644,0.201497239674796,0.074848794008596,0.0124875189006115,0,"ATP5IF1","protein_coding","MAPPED_STABLE_ID_VERSION_DIFFERS"
"ENSG00000232187",0.293538160283824,1,0.140044226563561,0.381293254497926,0.153493933720263,0.0245737362603147,0,"FTH1P7","processed_pseudogene","MAPPED_EXACT_VERSION"
"ENSG00000185641",-0.182836933151617,1,-0.289960513299401,-0.122738473935356,0.107123580147784,0.0184655320591359,0,"AC034236.1","processed_pseudogene","MAPPED_EXACT_VERSION"
"ENSG00000079385",0.237919812360475,1,0.0974579283980877,0.545157881034713,0.307238068674239,0.0443050355260962,0,"CEACAM1","protein_coding","MAPPED_STABLE_ID_VERSION_DIFFERS"
"ENSG00000234498",-0.103532752592713,1,-0.189297793855326,-0.0629085238359582,0.0857650412626139,0.0164735039972001,0,"RPL13AP20","processed_pseudogene","MAPPED_EXACT_VERSION"
"ENSG00000230916",0.0403795761696742,0.763157894736842,-0.072577774175098,0.113305056176048,0.112957350344772,0.0107411179381413,0,"MTCO1P53","processed_pseudogene","MAPPED_EXACT_VERSION"
"ENSG00000255717",-0.681134606900095,1,-0.822512564224606,-0.588270144201015,0.141377957324511,0.0204236380369366,0.131578947368421,"SNHG1","lncRNA","MAPPED_STABLE_ID_VERSION_DIFFERS"
"ENSG00000229604",0.0692327008806137,0.657894736842105,-0.0792483220378304,0.135040278129038,0.148481022918444,0.0168903021207537,0,"MTATP8P2","processed_pseudogene","MAPPED_EXACT_VERSION"
"ENSG00000167553",0.0815185022830925,0.842105263157895,0.0214504955245029,0.173371094447714,0.0918525921646214,0.0181605654250377,0,"TUBA1C","protein_coding","MAPPED_STABLE_ID_VERSION_DIFFERS"
"ENSG00000263266",-0.177574724414117,1,-0.276949336797948,-0.145240927939152,0.099374612383831,0.0155565399260782,0,"RPS7P1","processed_pseudogene","MAPPED_EXACT_VERSION"
"ENSG00000184007",0.0105851613241882,0.973684210526316,-0.0540980310575575,0.0367952617642896,0.0646831923817457,0.0132989650230353,0,"PTP4A2","protein_coding","MAPPED_EXACT_VERSION"
"ENSG00000125868",0.185045690343355,1,0.115965832842663,0.219913066671677,0.069079857500692,0.0164069448161493,0,"DSTN","protein_coding","MAPPED_STABLE_ID_VERSION_DIFFERS"
"ENSG00000134308",-0.0579638333872678,0.842105263157895,-0.14490799225533,-0.0101318767113317,0.0869441588680624,0.0140597628869704,0,"YWHAQ","protein_coding","MAPPED_STABLE_ID_VERSION_DIFFERS"
"ENSG00000253958",0.500790708441339,1,0.277300221609031,0.935602073681938,0.434811365240599,0.0376924737336217,0,"CLDN23","protein_coding","MAPPED_STABLE_ID_VERSION_DIFFERS"
"ENSG00000046604",0.327072902116772,1,0.245199157983052,0.450771018427579,0.123698116310806,0.0298415647817906,0,"DSG2","protein_coding","MAPPED_STABLE_ID_VERSION_DIFFERS"
"ENSG00000100079",0.271857412846709,0.973684210526316,0.0468093261406344,0.563398107639398,0.291540694792689,0.0374466872972205,0,"LGALS2","protein_coding","MAPPED_STABLE_ID_VERSION_DIFFERS"
"ENSG00000091409",0.139049694361878,0.973684210526316,0.0368194248953896,0.1923524091616,0.102230269466489,0.021034023813728,0,"ITGA6","protein_coding","MAPPED_STABLE_ID_VERSION_DIFFERS"
"ENSG00000110651",-0.0320500397951417,0.605263157894737,-0.148602460236116,0.0110130873517769,0.116552420440974,0.0163012648713999,0,"CD81","protein_coding","MAPPED_STABLE_ID_VERSION_DIFFERS"
"ENSG00000185043",0.242177911481122,1,0.149366240350875,0.369267655387234,0.127089743906112,0.0205861903107978,0,"CIB1","protein_coding","MAPPED_STABLE_ID_VERSION_DIFFERS"
"ENSG00000259612",0.0726934548395308,0.763157894736842,0.00823379500048896,0.137937729618365,0.0652442747788337,0.0131903746176098,0,"EEF1A1P22","processed_pseudogene","MAPPED_EXACT_VERSION"
"ENSG00000091317",0.0338078137792327,0.894736842105263,-0.0546210824342734,0.0754336776902979,0.0884288962135061,0.0154651161259124,0,"CMTM6","protein_coding","MAPPED_STABLE_ID_VERSION_DIFFERS"
"ENSG00000105193",-0.0673286953488064,0.947368421052632,-0.128679385928252,-0.0147946017234068,0.0613506905794459,0.0142877404012329,0,"RPS16","protein_coding","MAPPED_STABLE_ID_VERSION_DIFFERS"
"ENSG00000116209",0.12809917416347,1,0.0600891309041472,0.166657191114008,0.0680100432593232,0.014304982936239,0,"TMEM59","protein_coding","MAPPED_STABLE_ID_VERSION_DIFFERS"
"ENSG00000181524",-0.19797067501017,1,-0.283482646212555,-0.0984261020231772,0.0995445729869923,0.0143220933559959,0,"RPL24P4","processed_pseudogene","MAPPED_EXACT_VERSION"
"ENSG00000197629",-0.30945470482054,1,-0.416643296786942,-0.176438149215718,0.133016555604822,0.0164641791615894,0,"MPEG1","protein_coding","MAPPED_STABLE_ID_VERSION_DIFFERS"
"ENSG00000167552",0.0676011575428308,0.605263157894737,0.0271249850408546,0.0971099965223116,0.0404761725019762,0.0133306806032939,0,"TUBA1A","protein_coding","MAPPED_STABLE_ID_VERSION_DIFFERS"
"ENSG00000067704",0.187465040121524,1,0.101276679162925,0.244400859047124,0.0861883609585987,0.0152058094225197,0,"IARS2","protein_coding","MAPPED_STABLE_ID_VERSION_DIFFERS"
"ENSG00000117983",0.973216490544148,1,0.792084003946721,1.30473366479552,0.331517174251376,0.0375098248934038,0,"MUC5B","protein_coding","MAPPED_EXACT_VERSION"
"ENSG00000108953",-0.0432199282065,0.447368421052632,-0.080346943570834,-0.0324238136984423,0.0371270153643339,0.0106550912861322,0,"YWHAE","protein_coding","MAPPED_STABLE_ID_VERSION_DIFFERS"
"ENSG00000101608",0.11869572861254,1,0.0614291323881791,0.145188610242867,0.0572665962243613,0.0129538765933394,0,"MYL12A","protein_coding","MAPPED_EXACT_VERSION"
"ENSG00000211651",0.635967411295095,1,0.252710554946317,1.08683564304369,0.450868231748597,0.0573146533566878,0,"IGLV1-44","IG_V_gene","MAPPED_EXACT_VERSION"
"ENSG00000173674",-0.183050205573456,1,-0.224894781753632,-0.160801741696362,0.0418445761801763,0.0112500467177321,0,"EIF1AX","protein_coding","MAPPED_STABLE_ID_VERSION_DIFFERS"
"ENSG00000132963",-0.0755502100163951,0.947368421052632,-0.145440061479384,-0.0162104540815847,0.0698898514629893,0.0178393900495391,0,"POMP","protein_coding","MAPPED_STABLE_ID_VERSION_DIFFERS"
"ENSG00000232176",-0.0270535360670768,0.894736842105263,-0.0916044606737087,-0.012264003794773,0.0645509246066319,0.00872410115737232,0,"AL161909.1","processed_pseudogene","MAPPED_EXACT_VERSION"
"ENSG00000173726",-0.0585407825320018,0.947368421052632,-0.131085651167417,-0.0421500953905828,0.0725448686354147,0.00805996003803616,0,"TOMM20","protein_coding","MAPPED_STABLE_ID_VERSION_DIFFERS"
"ENSG00000178913",-0.0126648030692239,0.973684210526316,-0.0616490533255693,0.00135571957608409,0.0489842502563454,0.00819660476869133,0,"TAF7","protein_coding","MAPPED_STABLE_ID_VERSION_DIFFERS"
"ENSG00000241755",0.641315233989015,1,0.115969308106436,1.06087060097753,0.525345925882579,0.0638705214206473,0,"IGKV1-9","IG_V_gene","MAPPED_EXACT_VERSION"
"ENSG00000218227",-0.11478767792575,1,-0.196870642486831,-0.0721374630694762,0.0820829645610808,0.010981019894626,0,"AC136632.1","transcribed_processed_pseudogene","MAPPED_EXACT_VERSION"
"ENSG00000134440",-0.0683556345853464,0.947368421052632,-0.140378065829071,0.0168545138336461,0.0852101484189925,0.0155505705107347,0,"NARS1","protein_coding","MAPPED_STABLE_ID_VERSION_DIFFERS"
"ENSG00000067082",0.290117419502291,1,0.210027485847449,0.395101284633687,0.104983865131397,0.0231786201980951,0,"KLF6","protein_coding","MAPPED_STABLE_ID_VERSION_DIFFERS"
"ENSG00000107223",0.110480535697412,0.973684210526316,0.0133784609957,0.200333113684781,0.0971020747017124,0.0158710844532983,0,"EDF1","protein_coding","MAPPED_EXACT_VERSION"
"ENSG00000233913",-0.0916381782644755,0.973684210526316,-0.30065206789104,0.0957047347416164,0.209013889626564,0.0165188097084717,0,"RPL10P9","processed_pseudogene","MAPPED_EXACT_VERSION"
"ENSG00000103342",-0.104912608442045,1,-0.137135356312756,-0.0785685266034713,0.0322227478707116,0.0145235814375321,0,"GSPT1","protein_coding","MAPPED_STABLE_ID_VERSION_DIFFERS"
"ENSG00000183978",0.0518097161888166,0.315789473684211,-0.0597363910719639,0.119138915501847,0.11154610726078,0.0170004851358324,0,"COA3","protein_coding","MAPPED_STABLE_ID_VERSION_DIFFERS"
