"ensembl_gene_id","gene_symbol","tested_transcript_n","gene_primary_log2FC","transcript_same_direction_fraction","transcript_log2FC_min","transcript_log2FC_max","max_absolute_transcript_log2FC","lead_transcript_id","lead_transcript_log2FC","any_transcript_FDR_lt_0_05","transcript_heterogeneity_warning","concordance_label"
"ENSG00000248008","NRAV",1,0.0975697100941788,1,0.0804616882716228,0.0804616882716228,0.0804616882716228,"ENST00000500741.2:antisense:NRAV-002",0.0804616882716228,FALSE,FALSE,"GENE_TRANSCRIPT_DIRECTION_CONCORDANT"
"ENSG00000160746","ANO10",3,0.225323691707337,1,0.123384095431142,0.244084145782176,0.244084145782176,"ENST00000396091.7:protein_coding:ANO10-003",0.244084145782176,FALSE,FALSE,"GENE_TRANSCRIPT_DIRECTION_CONCORDANT"
"ENSG00000172345","STARD5",3,0.0731955489395092,1,0.0335395766729324,0.134229427696671,0.134229427696671,"ENST00000325346.6:nonsense_mediated_decay:STARD5-002",0.134229427696671,FALSE,FALSE,"GENE_TRANSCRIPT_DIRECTION_CONCORDANT"
"ENSG00000270550","IGHV3-30",1,1.73646584863496,1,1.40294389614245,1.40294389614245,1.40294389614245,"ENST00000603660.1:IG_V_gene:IGHV3-30-001",1.40294389614245,FALSE,FALSE,"GENE_TRANSCRIPT_DIRECTION_CONCORDANT"
"ENSG00000260229","PPIAP51",1,-0.234239768472072,1,-0.237609660247082,-0.237609660247082,0.237609660247082,"ENST00000567149.1:processed_pseudogene:RP11-391L3.5-001",-0.237609660247082,FALSE,FALSE,"GENE_TRANSCRIPT_DIRECTION_CONCORDANT"
"ENSG00000271723","MROH7-TTC4",3,-0.129282568998707,1,-0.13409997146515,-0.0849327708093061,0.13409997146515,"ENST00000425300.6:nonsense_mediated_decay:MROH7-TTC4-002",-0.13409997146515,FALSE,FALSE,"GENE_TRANSCRIPT_DIRECTION_CONCORDANT"
"ENSG00000256966","AL513165.2",2,-0.190381028012488,1,-0.210422854591825,-0.174654807928448,0.210422854591825,"ENST00000544475.5:processed_transcript:RP11-613M10.8-002",-0.210422854591825,FALSE,FALSE,"GENE_TRANSCRIPT_DIRECTION_CONCORDANT"
"ENSG00000260690","CYCSP39",1,-0.118136787020404,1,-0.139943399489218,-0.139943399489218,0.139943399489218,"ENST00000565821.1:processed_pseudogene:CYCSP39-001",-0.139943399489218,FALSE,FALSE,"GENE_TRANSCRIPT_DIRECTION_CONCORDANT"
"ENSG00000278771","RN7SL3",1,0.12803257508269,1,0.14465694622225,0.14465694622225,0.14465694622225,"ENST00000610674.1:misc_RNA:Metazoa_SRP.202-201",0.14465694622225,FALSE,FALSE,"GENE_TRANSCRIPT_DIRECTION_CONCORDANT"
"ENSG00000214049","UCA1",1,-0.0361175912017336,1,-0.0289116646757585,-0.0289116646757585,0.0289116646757585,"ENST00000397381.4:lincRNA:UCA1-001",-0.0289116646757585,FALSE,FALSE,"GENE_TRANSCRIPT_DIRECTION_CONCORDANT"
"ENSG00000236539","HNRNPA1P54",1,-0.00536518365503094,1,-0.0106939581719685,-0.0106939581719685,0.0106939581719685,"ENST00000411857.2:processed_pseudogene:HNRNPA1P54-001",-0.0106939581719685,FALSE,FALSE,"GENE_TRANSCRIPT_DIRECTION_CONCORDANT"
"ENSG00000168907","PLA2G4F",1,0.227433563444568,1,0.23276382012961,0.23276382012961,0.23276382012961,"ENST00000397272.7:protein_coding:PLA2G4F-001",0.23276382012961,FALSE,FALSE,"GENE_TRANSCRIPT_DIRECTION_CONCORDANT"
"ENSG00000227666","CYCSP24",1,-0.119354828550534,1,-0.141007731765766,-0.141007731765766,0.141007731765766,"ENST00000445119.1:processed_pseudogene:CYCSP24-001",-0.141007731765766,FALSE,FALSE,"GENE_TRANSCRIPT_DIRECTION_CONCORDANT"
"ENSG00000273041","ATF4P2",1,0.0279524965005327,1,0.026627835418541,0.026627835418541,0.026627835418541,"ENST00000601944.1:processed_pseudogene:ATF4P2-001",0.026627835418541,FALSE,FALSE,"GENE_TRANSCRIPT_DIRECTION_CONCORDANT"
"ENSG00000213338","ATF4P1",1,0.0279524965005327,1,0.026627835418541,0.026627835418541,0.026627835418541,"ENST00000443279.1:processed_pseudogene:ATF4P1-001",0.026627835418541,FALSE,FALSE,"GENE_TRANSCRIPT_DIRECTION_CONCORDANT"
"ENSG00000152404","CWF19L2",1,-0.187670233769079,1,-0.193547864003115,-0.193547864003115,0.193547864003115,"ENST00000282251.9:protein_coding:CWF19L2-001",-0.193547864003115,FALSE,FALSE,"GENE_TRANSCRIPT_DIRECTION_CONCORDANT"
"ENSG00000111450","STX2",1,0.0286692390592739,1,0.0552196929802068,0.0552196929802068,0.0552196929802068,"ENST00000261653.10:protein_coding:STX2-001",0.0552196929802068,FALSE,FALSE,"GENE_TRANSCRIPT_DIRECTION_CONCORDANT"
"ENSG00000240494","RPS12P28",1,0.0444917412712646,1,0.050676049634197,0.050676049634197,0.050676049634197,"ENST00000494679.2:processed_pseudogene:RPS12P28-001",0.050676049634197,FALSE,FALSE,"GENE_TRANSCRIPT_DIRECTION_CONCORDANT"
"ENSG00000155868","MED7",2,-0.0399756362341469,1,-0.0497528866225906,-0.0395964199427467,0.0497528866225906,"ENST00000286317.5:protein_coding:MED7-001",-0.0497528866225906,FALSE,FALSE,"GENE_TRANSCRIPT_DIRECTION_CONCORDANT"
"ENSG00000164975","SNAPC3",1,0.0759015047077875,1,0.0614435570630938,0.0614435570630938,0.0614435570630938,"ENST00000380821.7:protein_coding:SNAPC3-002",0.0614435570630938,FALSE,FALSE,"GENE_TRANSCRIPT_DIRECTION_CONCORDANT"
"ENSG00000118200","CAMSAP2",2,-0.173406659558993,1,-0.214490911630558,-0.205077199600698,0.214490911630558,"ENST00000236925.8:protein_coding:CAMSAP2-001",-0.214490911630558,FALSE,FALSE,"GENE_TRANSCRIPT_DIRECTION_CONCORDANT"
"ENSG00000213970","AC006122.1",1,0.00568348806879616,1,0.00589672343616408,0.00589672343616408,0.00589672343616408,"ENST00000493323.1:processed_pseudogene:RP11-264F23.1-001",0.00589672343616408,FALSE,FALSE,"GENE_TRANSCRIPT_DIRECTION_CONCORDANT"
"ENSG00000119242","CCDC92",3,0.504601998407412,1,0.465547872247036,0.478871474494548,0.478871474494548,"ENST00000545135.5:protein_coding:CCDC92-002",0.478871474494548,FALSE,FALSE,"GENE_TRANSCRIPT_DIRECTION_CONCORDANT"
"ENSG00000164008","C1orf50",1,0.00493665380478173,1,0.00603904462213219,0.00603904462213219,0.00603904462213219,"ENST00000372525.5:protein_coding:C1orf50-001",0.00603904462213219,FALSE,FALSE,"GENE_TRANSCRIPT_DIRECTION_CONCORDANT"
"ENSG00000184719","RNLS",1,0.061541648341674,1,0.0484655551661663,0.0484655551661663,0.0484655551661663,"ENST00000331772.8:protein_coding:RNLS-002",0.0484655551661663,FALSE,FALSE,"GENE_TRANSCRIPT_DIRECTION_CONCORDANT"
"ENSG00000222011","FAM185A",1,0.0104326340310478,1,0.00331856792148715,0.00331856792148715,0.00331856792148715,"ENST00000496790.1:processed_transcript:FAM185A-005",0.00331856792148715,FALSE,FALSE,"GENE_TRANSCRIPT_DIRECTION_CONCORDANT"
"ENSG00000165506","DNAAF2",2,-0.0958411468913692,1,-0.107292835203033,-0.100440211704216,0.107292835203033,"ENST00000406043.3:protein_coding:DNAAF2-002",-0.107292835203033,FALSE,FALSE,"GENE_TRANSCRIPT_DIRECTION_CONCORDANT"
"ENSG00000173867","AC013489.1",1,-0.191746926329196,1,-0.197130384849379,-0.197130384849379,0.197130384849379,"ENST00000561140.1:processed_transcript:RP11-97O12.7-002",-0.197130384849379,FALSE,FALSE,"GENE_TRANSCRIPT_DIRECTION_CONCORDANT"
"ENSG00000136193","SCRN1",2,-0.0710006327766128,1,-0.0872091331202935,-0.0842367610532278,0.0872091331202935,"ENST00000426154.5:protein_coding:SCRN1-201",-0.0872091331202935,FALSE,FALSE,"GENE_TRANSCRIPT_DIRECTION_CONCORDANT"
"ENSG00000054277","OPN3",3,0.215698787406792,1,0.138339211110453,0.22476320593374,0.22476320593374,"ENST00000469376.5:processed_transcript:OPN3-002",0.22476320593374,FALSE,FALSE,"GENE_TRANSCRIPT_DIRECTION_CONCORDANT"
"ENSG00000100092","SH3BP1",2,-0.0660416294331077,1,-0.115054537977834,-0.0833548697150152,0.115054537977834,"ENST00000469947.5:retained_intron:SH3BP1-003",-0.115054537977834,FALSE,FALSE,"GENE_TRANSCRIPT_DIRECTION_CONCORDANT"
"ENSG00000139874","SSTR1",1,0.112988557510453,1,0.0830975992252692,0.0830975992252692,0.0830975992252692,"ENST00000267377.2:protein_coding:SSTR1-002",0.0830975992252692,FALSE,FALSE,"GENE_TRANSCRIPT_DIRECTION_CONCORDANT"
"ENSG00000181744","DIPK2A",2,-0.328157434401732,1,-0.341349803788643,-0.335412043727741,0.341349803788643,"ENST00000315691.7:protein_coding:C3orf58-001",-0.335412043727741,FALSE,FALSE,"GENE_TRANSCRIPT_DIRECTION_CONCORDANT"
"ENSG00000182318","ZSCAN22",1,0.0186336631200265,1,0.0144382915641104,0.0144382915641104,0.0144382915641104,"ENST00000329665.4:protein_coding:ZSCAN22-001",0.0144382915641104,FALSE,FALSE,"GENE_TRANSCRIPT_DIRECTION_CONCORDANT"
"ENSG00000100784","RPS6KA5",1,0.0646283046383574,1,0.0582781097299935,0.0582781097299935,0.0582781097299935,"ENST00000614987.4:protein_coding:RPS6KA5-001",0.0582781097299935,FALSE,FALSE,"GENE_TRANSCRIPT_DIRECTION_CONCORDANT"
"ENSG00000174442","ZWILCH",3,-0.140148915268341,1,-0.200727216299568,-0.175292058538548,0.200727216299568,"ENST00000446801.6:protein_coding:ZWILCH-002",-0.200727216299568,FALSE,FALSE,"GENE_TRANSCRIPT_DIRECTION_CONCORDANT"
"ENSG00000244361","RPL30P7",1,-0.132003470829427,1,-0.121357052756173,-0.121357052756173,0.121357052756173,"ENST00000479312.1:processed_pseudogene:RPL30P7-001",-0.121357052756173,FALSE,FALSE,"GENE_TRANSCRIPT_DIRECTION_CONCORDANT"
"ENSG00000185909","KLHDC8B",1,0.0466058978118494,1,0.0530524472054724,0.0530524472054724,0.0530524472054724,"ENST00000332780.3:protein_coding:KLHDC8B-001",0.0530524472054724,FALSE,FALSE,"GENE_TRANSCRIPT_DIRECTION_CONCORDANT"
"ENSG00000142546","NOSIP",5,0.0962497472572881,1,0.103606684452677,0.158252358230369,0.158252358230369,"ENST00000601015.5:non_stop_decay:NOSIP-007",0.158252358230369,FALSE,FALSE,"GENE_TRANSCRIPT_DIRECTION_CONCORDANT"
"ENSG00000197122","SRC",5,0.208100175312679,1,0.185235458886799,0.192796939291827,0.192796939291827,"ENST00000477066.5:processed_transcript:SRC-004",0.192796939291827,FALSE,FALSE,"GENE_TRANSCRIPT_DIRECTION_CONCORDANT"
"ENSG00000127948","POR",4,0.195880386945438,1,0.159242710028907,0.194828180029572,0.194828180029572,"ENST00000394893.5:protein_coding:POR-009",0.194828180029572,FALSE,FALSE,"GENE_TRANSCRIPT_DIRECTION_CONCORDANT"
"ENSG00000172840","PDP2",1,0.034924542766352,1,0.0529974160599457,0.0529974160599457,0.0529974160599457,"ENST00000311765.3:protein_coding:PDP2-001",0.0529974160599457,FALSE,FALSE,"GENE_TRANSCRIPT_DIRECTION_CONCORDANT"
"ENSG00000119919","NKX2-3",2,0.76498551881091,1,0.578166166995899,0.595960042766928,0.595960042766928,"ENST00000344586.8:protein_coding:NKX2-3-001",0.595960042766928,FALSE,FALSE,"GENE_TRANSCRIPT_DIRECTION_CONCORDANT"
"ENSG00000071655","MBD3",4,-0.0149986449338506,0,0.00161722912784632,0.0100065263907406,0.0100065263907406,"ENST00000434436.7:protein_coding:MBD3-001",0.0100065263907406,FALSE,FALSE,"LOW_TRANSCRIPT_CONCORDANCE"
"ENSG00000166925","TSC22D4",3,0.190314440603241,1,0.124946165277045,0.218321505612208,0.218321505612208,"ENST00000393991.5:protein_coding:TSC22D4-002",0.218321505612208,FALSE,FALSE,"GENE_TRANSCRIPT_DIRECTION_CONCORDANT"
"ENSG00000276570","AC010327.6",1,-0.0490159703622896,1,-0.0518675870047163,-0.0518675870047163,0.0518675870047163,"ENST00000586923.1:retained_intron:CTD-2587H24.14-001",-0.0518675870047163,FALSE,FALSE,"GENE_TRANSCRIPT_DIRECTION_CONCORDANT"
"ENSG00000110801","PSMD9",4,-0.0223096772759206,0.75,-0.0206728512650269,0.0190606393345065,0.0206728512650269,"ENST00000261817.6:protein_coding:PSMD9-001",-0.0206728512650269,FALSE,FALSE,"LOW_TRANSCRIPT_CONCORDANCE"
"ENSG00000166971","AKTIP",3,0.117443724151599,1,0.0913501143641016,0.105747510793469,0.105747510793469,"ENST00000300245.8:protein_coding:AKTIP-003",0.105747510793469,FALSE,FALSE,"GENE_TRANSCRIPT_DIRECTION_CONCORDANT"
"ENSG00000161955","TNFSF13",4,0.0473841001148958,0.75,-0.0253845150121268,0.00590716469128142,0.0253845150121268,"ENST00000396545.4:protein_coding:TNFSF13-004",-0.0253845150121268,FALSE,FALSE,"LOW_TRANSCRIPT_CONCORDANCE"
"ENSG00000125952","MAX",5,0.0356548217739631,1,0.00638777309501021,0.0230275637591735,0.0230275637591735,"ENST00000555932.5:protein_coding:MAX-011",0.0230275637591735,FALSE,FALSE,"GENE_TRANSCRIPT_DIRECTION_CONCORDANT"
"ENSG00000134369","NAV1",2,0.12543050176793,1,0.0841984882860527,0.0910692392457138,0.0910692392457138,"ENST00000367295.5:protein_coding:NAV1-002",0.0910692392457138,FALSE,FALSE,"GENE_TRANSCRIPT_DIRECTION_CONCORDANT"
"ENSG00000223547","ZNF844",1,-0.0143202333643957,1,-0.0273085428760796,-0.0273085428760796,0.0273085428760796,"ENST00000439326.7:protein_coding:ZNF844-001",-0.0273085428760796,FALSE,FALSE,"GENE_TRANSCRIPT_DIRECTION_CONCORDANT"
"ENSG00000136870","ZNF189",3,-0.0141241171365434,1,-0.0403751881213138,-0.0387409906380187,0.0403751881213138,"ENST00000374861.7:protein_coding:ZNF189-002",-0.0403751881213138,FALSE,FALSE,"GENE_TRANSCRIPT_DIRECTION_CONCORDANT"
