"original_miRNA_id","feature_family","normalized_miRNA_id","miRNA_type","mature_or_precursor","arm","mapping_status","legacy_name_status","primary_logFC","primary_FDR","primary_t","unadjusted_logFC","unadjusted_FDR","unadjusted_t","no_zone_logFC","no_zone_FDR","no_zone_t","reduced_zone_logFC","reduced_zone_FDR","reduced_zone_t","transition_zone_logFC","transition_zone_FDR","transition_zone_t","intestinal_zone_logFC","intestinal_zone_FDR","intestinal_zone_t","direction_retention_fraction","loo_max_absolute_change","loo_median_absolute_change","loo_FDR_lt_0_05_fraction","EXCLUDE_BOTH_SOURCE_WARNING_FILES","EXCLUDE_GSM4676440_LOW_CORRELATION","EXCLUDE_GSM4676447","EXCLUDE_GSM4676456_HIGH_PCA","EXCLUDE_GSM4676457","EXCLUDE_GSM4676460_HIGH_PCA","EXCLUDE_GSM4676462_HIGH_PCA_LOW_CORRELATION","EXCLUDE_GSM4676467_LOW_CORRELATION","EXCLUDE_GSM4676468_HIGH_PCA_LOW_CORRELATION","source_warning_direction_stable","all_warning_direction_stable","within_zone_direction_reproduced","core_model_direction_stable","sample_sensitive","zone_dependent","model_dependent","stable_without_fdr","adjusted_stable","low_precision_stable","only_unadjusted","stability_class"
"hsa-miR-21-5p:hsa-mir-21","MATURE","hsa-miR-21-5p","mature_miRNA","mature_arm_specific","5p","RECOGNIZED_MIRBASE_22_1_MATURE","CURRENT_MIRBASE_22_1",-0.153537429236031,0.954302845955942,-0.553905933585667,-0.121937381851418,0.792186479666617,-0.560254113754199,-0.134254364662575,0.805388428063735,-0.596323281397187,-0.121287213910072,0.916856192566911,-0.480730640161821,-0.218747019054892,0.914705753303581,-0.270374824178892,0.0208070443162604,0.981296619127529,0.0488798192209769,0.921052631578947,0.178565229383813,0.0189364602320418,0,-0.264805588205581,-0.144400195746603,-0.16970514617796,-0.127771810874234,-0.266051900841595,-0.145591132465728,-0.179373604745803,-0.117956242080479,-0.168044474957425,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,"DIRECTIONALLY_STABLE_LOW_PRECISION"
"hsa-miR-375:hsa-mir-375","UNRESOLVED","hsa-miR-375","deprecated_or_unresolved_miRNA","mature_legacy_or_unversioned",NA,"UNRECOGNIZED_IN_MIRBASE_22_1","UNRESOLVED_LEGACY_OR_UNVERSIONED",0.460568241840831,0.879362103059873,0.566836473155376,2.5220351489442,0.0208746090719655,3.40796262156032,2.56428235625852,0.0276450583199676,3.32056086454287,0.341626810282431,0.89362794012323,0.590191192389922,2.88515338053493,0.916209257416627,1.2472302437281,-0.41040811350678,0.826967547320228,-0.571050871212183,1,0.639310471015773,0.0595571871173176,0,0.633567842113684,0.407536555144052,0.580324503774135,0.280836121495243,0.280663031420265,0.82281697524589,0.364059268928421,0.478061865115229,0.848218905417942,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"SAMPLE_SENSITIVE"
"hsa-miR-26a-5p:hsa-mir-26a-1","MATURE","hsa-miR-26a-5p","mature_miRNA","mature_arm_specific","5p","RECOGNIZED_MIRBASE_22_1_MATURE","CURRENT_MIRBASE_22_1",-0.251091371148908,0.843189393982541,-1.50657411529348,-0.0682751889151953,0.804229623910739,-0.519463155011752,-0.0491270854910238,0.884710030294554,-0.359628593326824,-0.207852802993159,0.911766233957545,-1.08538059059402,-0.48039781100841,0.715693464556363,-0.761388103007796,-0.126049517295872,0.903303550171087,-0.335258407916795,1,0.0707136037290202,0.0116736011412556,0,-0.188186819089696,-0.257452160402203,-0.204656748878551,-0.241691451823848,-0.232627143384897,-0.246238032593242,-0.192492637959823,-0.217839836065383,-0.223473793238325,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"ZONE_DEPENDENT"
"hsa-let-7b-5p:hsa-let-7b","MATURE","hsa-let-7b-5p","mature_miRNA","mature_arm_specific","5p","RECOGNIZED_MIRBASE_22_1_MATURE","CURRENT_MIRBASE_22_1",0.0560305555351312,0.981068937087881,0.327738540302014,-0.0741224740628262,0.794107393976483,-0.544360966723643,-0.067306969124145,0.832346407596613,-0.497244618503094,-0.00976479607114121,0.98985615143652,-0.0501866632932976,-1.25855196209524,0.366124228927073,-1.79792896719653,0.646148555092236,0.498652660634246,1.93191628862982,0.736842105263158,0.189217095608073,0.0180665035620259,0,0.219939149994353,0.0624882880550296,0.126493797824985,0.0773790621196446,0.145316214111005,0.0564725123327226,-0.033936962245803,0.0930164241155082,0.0289636456056624,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"SAMPLE_SENSITIVE"
"hsa-let-7a-5p:hsa-let-7a-1","MATURE","hsa-let-7a-5p","mature_miRNA","mature_arm_specific","5p","RECOGNIZED_MIRBASE_22_1_MATURE","CURRENT_MIRBASE_22_1",-0.0939977324163609,0.954302845955942,-0.632171959668359,-0.12426701961741,0.586796798908885,-1.07363636181702,-0.107152137913647,0.66490101079496,-0.925285805474649,-0.140478408179742,0.911766233957545,-0.760900389074685,-1.23987392572412,0.354128103631335,-1.8649205915358,0.441101938752105,0.584887126756941,1.33954747200673,0.947368421052632,0.161379528697222,0.0176029506911423,0,0.059430989439137,-0.0901376799490067,-0.0136055564379745,-0.0610368944221835,-0.0195458277372264,-0.0925178208716754,-0.122345010152961,-0.0568776963181591,-0.101087566695831,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"SAMPLE_SENSITIVE"
"hsa-miR-200c-3p:hsa-mir-200c","MATURE","hsa-miR-200c-3p","mature_miRNA","mature_arm_specific","3p","RECOGNIZED_MIRBASE_22_1_MATURE","CURRENT_MIRBASE_22_1",0.274720981705558,0.948810508224733,0.902023150296121,0.572022565134295,0.179498616313947,2.1991059905094,0.580152826459553,0.201275308285891,2.1530937806154,0.180775240146354,0.914421305592855,0.557780743881662,1.10178573500193,0.624722427245614,1.05394040495517,-0.775490233458372,0.55916431384805,-1.46551190391462,1,0.13510327683012,0.0218487599054007,0,0.0912955311297199,0.285330653311436,0.227252611383945,0.237295928256487,0.139617704875437,0.288695993317383,0.205553590121164,0.291400476443987,0.254522778965661,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,"DIRECTIONALLY_STABLE_LOW_PRECISION"
"hsa-miR-200b-3p:hsa-mir-200b","MATURE","hsa-miR-200b-3p","mature_miRNA","mature_arm_specific","3p","RECOGNIZED_MIRBASE_22_1_MATURE","CURRENT_MIRBASE_22_1",0.374084868134066,0.913328740245061,1.09952864125003,1.24321218993911,0.0100371464574978,3.95036843348702,1.26305403224039,0.00920678808986936,3.96405529622812,0.359167138636053,0.911766233957545,0.97786214675187,1.84928113389935,0.417365593161147,1.60135754853014,-0.885951590222677,0.536750815587504,-1.55843918102013,1,0.172199125129405,0.0241301417950597,0,0.13969521919582,0.374002142659163,0.313178581122223,0.312844945314547,0.201885743004661,0.391219538713194,0.372236062476894,0.391367447569438,0.381751472119128,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,"DIRECTIONALLY_STABLE_LOW_PRECISION"
"hsa-miR-92a-3p:hsa-mir-92a-1","MATURE","hsa-miR-92a-3p","mature_miRNA","mature_arm_specific","3p","RECOGNIZED_MIRBASE_22_1_MATURE","CURRENT_MIRBASE_22_1",-0.0255714340004925,0.99698024720718,-0.129127718534824,-0.0359910038297221,0.906284221936995,-0.236335397028377,0.0192436290977922,0.962130730956057,0.12359160370124,-0.135196579873385,0.914421305592855,-0.568827242142708,-2.38635079368882,0.186129625733362,-2.82029567702899,0.0554954276318701,0.958706551800141,0.166572698335872,0.81578947368421,0.0753740662303467,0.0160086062911363,0,0.0760692247120528,-0.0245065028837149,0.00927860541599631,0.0498026322298542,0.0306808901350073,-0.0268378780053775,-0.0283629448920818,-0.00132429964884287,-0.029065396836239,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"SAMPLE_SENSITIVE"
"hsa-let-7f-5p:hsa-let-7f-1","MATURE","hsa-let-7f-5p","mature_miRNA","mature_arm_specific","5p","RECOGNIZED_MIRBASE_22_1_MATURE","CURRENT_MIRBASE_22_1",-0.159403103251657,0.945119595048974,-0.962797439359623,-0.0720070126622744,0.792186479666617,-0.554948064378942,-0.0451897099033704,0.889422147057613,-0.335474109071151,-0.249865708628844,0.911766233957545,-1.195123625624,-1.64612283293278,0.233362572585465,-2.35688425520469,0.398074671484229,0.654977857151536,1.10974748552555,1,0.160294053396137,0.0110290079570038,0,0.0042557373093534,-0.161995151349918,-0.0686220195763019,-0.108147862950218,-0.0865665053867268,-0.158957658977283,-0.181737081193299,-0.123613096641364,-0.15967213350944,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"SAMPLE_SENSITIVE"
"hsa-miR-10a-5p:hsa-mir-10a","MATURE","hsa-miR-10a-5p","mature_miRNA","mature_arm_specific","5p","RECOGNIZED_MIRBASE_22_1_MATURE","CURRENT_MIRBASE_22_1",0.12396333512316,0.954302845955942,0.5784255261176,0.852845632507003,0.00925699816288457,4.036304410033,0.884100348927825,0.00698539950140059,4.10553351368475,0.212664099202455,0.911766233957545,1.08909574872439,1.11454453741643,0.398285091919742,1.70853245396582,-0.15550484011837,0.883738431542869,-0.40381984503709,1,0.0862364511000981,0.0162728791429232,0,0.0424650686998809,0.111554009251166,0.0689327745839033,0.102960354410644,0.0928699261402473,0.127151755710443,0.148000704001752,0.143090376434863,0.146592106381779,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"SAMPLE_SENSITIVE"
