"ensembl_gene_id","gene_symbol","log2_fold_change_no_zone","BH_FDR_no_zone","log2_fold_change_adjusted","BH_FDR_adjusted","no_zone_significant","attenuated","direction_reversed"
"ENSG00000000003","TSPAN6",0.566461154768782,0.0170523878243882,0.0433981375937988,0.937014043002887,TRUE,TRUE,FALSE
"ENSG00000000419","DPM1",-0.0935082948960475,0.385071161948003,-0.113976059903964,0.609458375971566,FALSE,FALSE,FALSE
"ENSG00000000457","SCYL3",0.163834466768899,0.081816466958895,0.152103456835146,0.42460229748963,FALSE,TRUE,FALSE
"ENSG00000000971","CFH",-0.3515737470202,0.226506361598901,-0.0621718146251005,0.928152401377445,FALSE,TRUE,FALSE
"ENSG00000001036","FUCA2",0.963144277816986,0.00000182482818976471,0.147748123845991,0.521657484740094,TRUE,TRUE,FALSE
"ENSG00000001084","GCLC",-0.602427576502496,0.00211371922267446,0.0100738778395689,0.984860498541266,TRUE,TRUE,TRUE
"ENSG00000001167","NFYA",0.0282503072974644,0.830337872448113,-0.0320171291908303,0.921185627213846,FALSE,FALSE,TRUE
"ENSG00000001461","NIPAL3",-0.173003243291085,0.242661748556345,0.32048145757496,0.24752789680505,FALSE,FALSE,TRUE
"ENSG00000001497","LAS1L",-0.381836483432731,0.00171915284581877,-0.0126346344176995,0.967572541224418,TRUE,TRUE,FALSE
"ENSG00000001561","ENPP4",1.52707821572869,0.00000727550896521479,0.382328066014134,0.317237998304169,TRUE,TRUE,FALSE
"ENSG00000001626","CFTR",3.22907314310269,0.0000325419212486196,0.507610484545931,0.536939655032665,TRUE,TRUE,FALSE
"ENSG00000001629","ANKIB1",-0.0239007688363778,0.848731261734084,-0.02663572289324,0.943747292130892,FALSE,FALSE,FALSE
"ENSG00000001630","CYP51A1",0.64797959030215,0.00625646081270863,0.235512973976605,0.618553011765366,TRUE,TRUE,FALSE
"ENSG00000002330","BAD",0.335520050829845,0.0046367855795314,0.222482707805018,0.314721397067332,TRUE,TRUE,FALSE
"ENSG00000002549","LAP3",-0.120213884453289,0.319496995389338,-0.339518561304643,0.132357485634614,FALSE,FALSE,FALSE
"ENSG00000002586","CD99",-0.263358950076581,0.0443350659356663,0.115430856240219,0.615572557223381,TRUE,TRUE,TRUE
"ENSG00000002587","HS3ST1",-0.610720882353309,0.0342663039484852,-0.0164279598941339,0.983878749647585,TRUE,TRUE,FALSE
"ENSG00000002726","AOC1",3.88064944973021,0.0000014168225327448,0.736994682725575,0.331949544260536,TRUE,TRUE,FALSE
"ENSG00000002834","LASP1",0.880808850531992,0.00000175387592752469,0.276100051124974,0.288466924316565,TRUE,TRUE,FALSE
"ENSG00000002919","SNX11",-0.0979214951848685,0.28802577446114,-0.0494425191226141,0.834000390724166,FALSE,TRUE,FALSE
"ENSG00000002933","TMEM176A",1.33614503751546,0.0000285391066082746,0.0636854747225244,0.903087830470455,TRUE,TRUE,FALSE
"ENSG00000003056","M6PR",0.00887167924652021,0.942933441505996,-0.203129404617065,0.304305523632363,FALSE,FALSE,TRUE
"ENSG00000003147","ICA1",1.18243851116248,0.000257399015036178,0.394553295934708,0.446582281231061,TRUE,TRUE,FALSE
"ENSG00000003393","ALS2",-0.148805274798602,0.260108166182005,0.0504769476404685,0.880206116010941,FALSE,TRUE,TRUE
"ENSG00000003400","CASP10",0.444142809322628,0.0095155934598258,-0.0607101074560409,0.882299472995471,TRUE,TRUE,TRUE
"ENSG00000003402","CFLAR",-0.0363411288822029,0.758220212661643,-0.0985820403112834,0.65486721420114,FALSE,FALSE,FALSE
"ENSG00000003436","TFPI",-0.44028183350098,0.105448781218668,-0.114669724309216,0.844892858105322,FALSE,TRUE,FALSE
"ENSG00000003756","RBM5",-0.0849737584109498,0.36730033887695,0.0543131788131199,0.788234222145984,FALSE,TRUE,TRUE
"ENSG00000004059","ARF5",-0.0985880298078381,0.399142223726343,0.193617922126295,0.221403570996502,FALSE,FALSE,TRUE
"ENSG00000004139","SARM1",0.570232706429859,0.00155913165793538,0.303896466437581,0.338600983631357,TRUE,TRUE,FALSE
"ENSG00000004142","POLDIP2",-0.0254432918266567,0.802341641917374,0.122550563304938,0.414895932854879,FALSE,FALSE,TRUE
"ENSG00000004455","AK2",-0.013590826115229,0.860299161742626,-0.0716057737831328,0.604921549566903,FALSE,FALSE,FALSE
"ENSG00000004468","CD38",0.186585386141766,0.565285398190515,-0.267533037855335,0.703820432530141,FALSE,FALSE,TRUE
"ENSG00000004478","FKBP4",-0.375232691926157,0.0178104117292008,-0.155901146784817,0.614816959899182,TRUE,TRUE,FALSE
"ENSG00000004487","KDM1A",-0.164838105720332,0.0923230259089605,0.0257684008983487,0.91731045052184,FALSE,TRUE,TRUE
"ENSG00000004534","RBM6",-0.150407429917241,0.313730858153389,-0.0306817536764133,0.936907141369975,FALSE,TRUE,FALSE
"ENSG00000004700","RECQL",-0.223742779648301,0.0841963848222582,-0.11521387559314,0.667460559661994,FALSE,TRUE,FALSE
"ENSG00000004766","VPS50",-0.00339696676613217,0.971005897162068,-0.0152955956189029,0.951065152711693,FALSE,FALSE,FALSE
"ENSG00000004776","HSPB6",0.26860652849116,0.502366873522386,0.65279875551703,0.347026667255065,FALSE,FALSE,FALSE
"ENSG00000004779","NDUFAB1",0.252292293194283,0.0313962457747617,-0.132869546323805,0.494616904305291,TRUE,TRUE,TRUE
"ENSG00000004799","PDK4",0.377433741572184,0.239487147639032,0.107830998939925,0.878863993293951,FALSE,TRUE,FALSE
"ENSG00000004864","SLC25A13",0.478819817783998,0.000398608220322242,0.0447905262434865,0.877617420515303,TRUE,TRUE,FALSE
"ENSG00000004897","CDC27",-0.136270701729194,0.190668871537699,-0.110754174853442,0.611617890252299,FALSE,TRUE,FALSE
"ENSG00000004961","HCCS",0.1306086604628,0.185246764461509,-0.118568552506089,0.51076069152947,FALSE,TRUE,TRUE
"ENSG00000005001","PRSS22",-0.742328815971993,0.039043509048704,0.00227457445549623,0.996987095108322,TRUE,TRUE,TRUE
"ENSG00000005007","UPF1",0.123221681100943,0.185988233112565,0.12760290035215,0.517272050791425,FALSE,FALSE,FALSE
