"original_miRNA_id","normalized_miRNA_id","logFC_no_zone","BH_FDR_no_zone","logFC_adjusted","BH_FDR_adjusted","no_zone_significant","attenuated","direction_reversed"
"hsa-miR-1226-5p:hsa-mir-1226","hsa-miR-1226-5p",1.00772820430551,0.368518547067431,1.73137530589459,0.633528608313097,FALSE,FALSE,FALSE
"hsa-miR-1227-3p:hsa-mir-1227","hsa-miR-1227-3p",-0.467716472001471,0.683259735986372,-0.253264780894009,0.961686339648352,FALSE,TRUE,FALSE
"hsa-miR-1228-3p:hsa-mir-1228","hsa-miR-1228-3p",-0.646357118136598,0.50454825367577,-0.225670827369506,0.962283635606115,FALSE,TRUE,FALSE
"hsa-miR-1229-3p:hsa-mir-1229","hsa-miR-1229-3p",0.463360185144185,0.515456787692169,0.380456584271353,0.948810508224733,FALSE,TRUE,FALSE
"hsa-miR-1237-3p:hsa-mir-1237","hsa-miR-1237-3p",0.762151194831332,0.55495926717748,1.67454208686636,0.633528608313097,FALSE,FALSE,FALSE
"hsa-miR-124-3p:hsa-mir-124-1","hsa-miR-124-3p",0.98049425610643,0.414497778188412,1.54565327788306,0.827381577615971,FALSE,FALSE,FALSE
"hsa-miR-1244:hsa-mir-1244-1","hsa-miR-1244",-0.098119031428003,0.889422147057613,0.292096141726567,0.951185018782856,FALSE,FALSE,TRUE
"hsa-miR-1246:hsa-mir-1246","hsa-miR-1246",-0.171426419576034,0.910058537082476,-0.393960569397013,0.954302845955942,FALSE,FALSE,FALSE
"hsa-miR-1247-5p:hsa-mir-1247","hsa-miR-1247-5p",0.0790938294198879,0.889422147057613,0.114838230070208,0.961686339648352,FALSE,FALSE,FALSE
"hsa-miR-1248:hsa-mir-1248","hsa-miR-1248",1.08370632307933,0.141761709681312,0.132092128308648,0.994088918459872,FALSE,TRUE,FALSE
"hsa-miR-1249-3p:hsa-mir-1249","hsa-miR-1249-3p",-0.284334668069219,0.798137232368285,0.30858065597615,0.954302845955942,FALSE,FALSE,TRUE
"hsa-miR-1255a:hsa-mir-1255a","hsa-miR-1255a",0.401621359430095,0.774176845748168,-0.142010179136236,0.99698024720718,FALSE,TRUE,TRUE
"hsa-miR-1255b-5p:hsa-mir-1255b-1","hsa-miR-1255b-5p",-1.18177887133774,0.285955766973789,-0.847427245062786,0.942554188179476,FALSE,TRUE,FALSE
"hsa-miR-1258:hsa-mir-1258","hsa-miR-1258",-0.212721746585941,0.889422147057613,0.241224635722682,0.986222444632175,FALSE,FALSE,TRUE
"hsa-miR-125a-3p:hsa-mir-125a","hsa-miR-125a-3p",-0.309108154094917,0.37761225655932,-0.0515157123008802,0.99698024720718,FALSE,TRUE,FALSE
"hsa-miR-125a-5p:hsa-mir-125a","hsa-miR-125a-5p",-0.0637109331841443,0.88287208092396,0.183422524603033,0.951185018782856,FALSE,FALSE,TRUE
"hsa-miR-125b-1-3p:hsa-mir-125b-1","hsa-miR-125b-1-3p",-0.24935110166955,0.601924395206168,0.0647399309900003,0.996391896925509,FALSE,TRUE,TRUE
"hsa-miR-125b-2-3p:hsa-mir-125b-2","hsa-miR-125b-2-3p",-0.959883416999079,0.0895395590464468,0.106023017466427,0.986222444632175,FALSE,TRUE,TRUE
"hsa-miR-125b-5p:hsa-mir-125b-1","hsa-miR-125b-5p",-0.688603478315421,0.100433737375975,0.0579092805609522,0.99698024720718,FALSE,TRUE,TRUE
