module_id,module_name,source_library,source_term,source_gene_symbol
ENDOTHELIAL_ACTIVATION,endothelial activation,GO_Biological_Process_2026,Positive Regulation of Endothelial Cell Proliferation (GO:0001938),PDCD6
ENDOTHELIAL_ACTIVATION,endothelial activation,GO_Biological_Process_2026,Positive Regulation of Endothelial Cell Proliferation (GO:0001938),PDCL3
ENDOTHELIAL_ACTIVATION,endothelial activation,GO_Biological_Process_2026,Positive Regulation of Endothelial Cell Proliferation (GO:0001938),PDGFB
ENDOTHELIAL_ACTIVATION,endothelial activation,GO_Biological_Process_2026,Positive Regulation of Endothelial Cell Proliferation (GO:0001938),PDPK1
ENDOTHELIAL_ACTIVATION,endothelial activation,GO_Biological_Process_2026,Positive Regulation of Endothelial Cell Proliferation (GO:0001938),PIK3CD
ENDOTHELIAL_ACTIVATION,endothelial activation,GO_Biological_Process_2026,Positive Regulation of Endothelial Cell Proliferation (GO:0001938),PLCG1
ENDOTHELIAL_ACTIVATION,endothelial activation,GO_Biological_Process_2026,Positive Regulation of Endothelial Cell Proliferation (GO:0001938),PLXNB3
ENDOTHELIAL_ACTIVATION,endothelial activation,GO_Biological_Process_2026,Positive Regulation of Endothelial Cell Proliferation (GO:0001938),PPP1R16B
ENDOTHELIAL_ACTIVATION,endothelial activation,GO_Biological_Process_2026,Positive Regulation of Endothelial Cell Proliferation (GO:0001938),PRKCA
ENDOTHELIAL_ACTIVATION,endothelial activation,GO_Biological_Process_2026,Positive Regulation of Endothelial Cell Proliferation (GO:0001938),PRKD1
ENDOTHELIAL_ACTIVATION,endothelial activation,GO_Biological_Process_2026,Positive Regulation of Endothelial Cell Proliferation (GO:0001938),PRKD2
ENDOTHELIAL_ACTIVATION,endothelial activation,GO_Biological_Process_2026,Positive Regulation of Endothelial Cell Proliferation (GO:0001938),PROX1
ENDOTHELIAL_ACTIVATION,endothelial activation,GO_Biological_Process_2026,Positive Regulation of Endothelial Cell Proliferation (GO:0001938),SCG2
ENDOTHELIAL_ACTIVATION,endothelial activation,GO_Biological_Process_2026,Positive Regulation of Endothelial Cell Proliferation (GO:0001938),SEMA5A
ENDOTHELIAL_ACTIVATION,endothelial activation,GO_Biological_Process_2026,Positive Regulation of Endothelial Cell Proliferation (GO:0001938),SIRT1
ENDOTHELIAL_ACTIVATION,endothelial activation,GO_Biological_Process_2026,Positive Regulation of Endothelial Cell Proliferation (GO:0001938),SIRT6
ENDOTHELIAL_ACTIVATION,endothelial activation,GO_Biological_Process_2026,Positive Regulation of Endothelial Cell Proliferation (GO:0001938),SP1
ENDOTHELIAL_ACTIVATION,endothelial activation,GO_Biological_Process_2026,Positive Regulation of Endothelial Cell Proliferation (GO:0001938),STAT5A
ENDOTHELIAL_ACTIVATION,endothelial activation,GO_Biological_Process_2026,Positive Regulation of Endothelial Cell Proliferation (GO:0001938),TEK
ENDOTHELIAL_ACTIVATION,endothelial activation,GO_Biological_Process_2026,Positive Regulation of Endothelial Cell Proliferation (GO:0001938),TGFBR1
ENDOTHELIAL_ACTIVATION,endothelial activation,GO_Biological_Process_2026,Positive Regulation of Endothelial Cell Proliferation (GO:0001938),THBS4
ENDOTHELIAL_ACTIVATION,endothelial activation,GO_Biological_Process_2026,Positive Regulation of Endothelial Cell Proliferation (GO:0001938),TNFSF12
ENDOTHELIAL_ACTIVATION,endothelial activation,GO_Biological_Process_2026,Positive Regulation of Endothelial Cell Proliferation (GO:0001938),VASH2
ENDOTHELIAL_ACTIVATION,endothelial activation,GO_Biological_Process_2026,Positive Regulation of Endothelial Cell Proliferation (GO:0001938),VEGFA
ENDOTHELIAL_ACTIVATION,endothelial activation,GO_Biological_Process_2026,Positive Regulation of Endothelial Cell Proliferation (GO:0001938),VEGFB
ENDOTHELIAL_ACTIVATION,endothelial activation,GO_Biological_Process_2026,Positive Regulation of Endothelial Cell Proliferation (GO:0001938),WNT5A
ENDOTHELIAL_ACTIVATION,endothelial activation,GO_Biological_Process_2026,Positive Regulation of Endothelial Cell Proliferation (GO:0001938),ZNF580
ANGIOGENESIS,angiogenesis,GO_Biological_Process_2026,Positive Regulation of Angiogenesis (GO:0045766),ADAM12
ANGIOGENESIS,angiogenesis,GO_Biological_Process_2026,Positive Regulation of Angiogenesis (GO:0045766),ADM2
ANGIOGENESIS,angiogenesis,GO_Biological_Process_2026,Positive Regulation of Angiogenesis (GO:0045766),AGGF1
ANGIOGENESIS,angiogenesis,GO_Biological_Process_2026,Positive Regulation of Angiogenesis (GO:0045766),AGO2
ANGIOGENESIS,angiogenesis,GO_Biological_Process_2026,Positive Regulation of Angiogenesis (GO:0045766),ANGPT4
ANGIOGENESIS,angiogenesis,GO_Biological_Process_2026,Positive Regulation of Angiogenesis (GO:0045766),ANGPTL3
ANGIOGENESIS,angiogenesis,GO_Biological_Process_2026,Positive Regulation of Angiogenesis (GO:0045766),ANGPTL4
ANGIOGENESIS,angiogenesis,GO_Biological_Process_2026,Positive Regulation of Angiogenesis (GO:0045766),ANXA3
ANGIOGENESIS,angiogenesis,GO_Biological_Process_2026,Positive Regulation of Angiogenesis (GO:0045766),APELA
ANGIOGENESIS,angiogenesis,GO_Biological_Process_2026,Positive Regulation of Angiogenesis (GO:0045766),APLNR
ANGIOGENESIS,angiogenesis,GO_Biological_Process_2026,Positive Regulation of Angiogenesis (GO:0045766),AQP1
ANGIOGENESIS,angiogenesis,GO_Biological_Process_2026,Positive Regulation of Angiogenesis (GO:0045766),BMPER
ANGIOGENESIS,angiogenesis,GO_Biological_Process_2026,Positive Regulation of Angiogenesis (GO:0045766),BRCA1
ANGIOGENESIS,angiogenesis,GO_Biological_Process_2026,Positive Regulation of Angiogenesis (GO:0045766),BTG1
ANGIOGENESIS,angiogenesis,GO_Biological_Process_2026,Positive Regulation of Angiogenesis (GO:0045766),CCR3
ANGIOGENESIS,angiogenesis,GO_Biological_Process_2026,Positive Regulation of Angiogenesis (GO:0045766),CD34
ANGIOGENESIS,angiogenesis,GO_Biological_Process_2026,Positive Regulation of Angiogenesis (GO:0045766),CD40
ANGIOGENESIS,angiogenesis,GO_Biological_Process_2026,Positive Regulation of Angiogenesis (GO:0045766),CDH5
ANGIOGENESIS,angiogenesis,GO_Biological_Process_2026,Positive Regulation of Angiogenesis (GO:0045766),CHI3L1
ANGIOGENESIS,angiogenesis,GO_Biological_Process_2026,Positive Regulation of Angiogenesis (GO:0045766),CHRNA7
ANGIOGENESIS,angiogenesis,GO_Biological_Process_2026,Positive Regulation of Angiogenesis (GO:0045766),CLIC3
ANGIOGENESIS,angiogenesis,GO_Biological_Process_2026,Positive Regulation of Angiogenesis (GO:0045766),CTNNB1
ANGIOGENESIS,angiogenesis,GO_Biological_Process_2026,Positive Regulation of Angiogenesis (GO:0045766),CXCL8
ANGIOGENESIS,angiogenesis,GO_Biological_Process_2026,Positive Regulation of Angiogenesis (GO:0045766),CXCR3
